t,gx,gy,gz,ax,ay,az
74322368404192,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322370039424,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322371683584,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322373313696,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322374941120,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322376566560,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322378193312,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322379833120,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322381470016,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322383109888,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322384748544,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322386385312,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322388017920,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322389651520,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322391286656,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322392923776,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322394557760,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322396188448,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322397861600,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322399526048,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322401170336,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322402802720,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322404433536,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322406078176,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322408585888,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322410921376,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322413458656,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322416044448,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322418462784,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322420826496,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322423633824,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322426198816,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322429136800,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322431898144,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322435822880,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322446685600,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322449249312,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322452192000,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322454953984,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322457517760,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322460459712,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322463221536,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322465785888,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322468724704,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322471485184,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322474050688,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322476991648,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322479751136,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322482315904,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322485253600,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322488012640,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322490592416,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322493540992,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322496308960,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322498883328,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322501829952,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322504565408,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322507120000,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322510069568,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322512824352,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322515394400,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322518334016,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322521093440,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322523658368,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322526600160,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322529372704,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322531938272,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322534889536,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322537657472,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322540231424,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322543181504,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322545949440,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322548523904,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322551476032,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322554239200,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322556802944,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322559748512,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322562549376,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322565084480,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322568004416,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322570745408,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322573321824,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322576248288,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322578989952,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322581533376,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322584457984,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322587196704,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
